compound,CmpdID,Pathway,parent,medRt,C_D0,C_D7,C_D14,C_D21,C_D28,C_D35,C_D42,G1_D0,G3_D0,G4_D0,G5_D0,G6_D0,G7_D0,G1_D7,G3_D7,G4_D7,G5_D7,G6_D7,G7_D7,G1_D14,G3_D14,G4_D14,G5_D14,G6_D14,G7_D14,G1_D21,G3_D21,G4_D21,G5_D21,G6_D21,G7_D21,G1_D28,G3_D28,G4_D28,G5_D28,G6_D28,G7_D28,G1_D35,G3_D35,G4_D35,G5_D35,G6_D35,G7_D35,G1_D42,G3_D42,G4_D42,G5_D42,G6_D42,G7_D42,Median Ctrl day 0,Median D0,Median D7,Median D14,Median D21,Median D28,Median D35,Median D42,FC42/0 ,pvalue
alanine,C00041,Aminoacids,90.05537,1.337379,8266462,4761906,5968166,10204500,8007756,7493374,6912342,6341368,6671248,5878004,5545736,5081238,4894200,5422346,4806352,4655058,4794983,5048038,3971057,4881339,5249754,4470268,4643908,7252138,5562176,9.31E+06,8.47E+06,7.94E+06,8.42E+06,7.91E+06,8.57E+06,6981784,6905932,6751526,6898264,8362476,7094642,6995012,7290094,6139962,6842058,8346854,7004828,6.56E+06,6.23E+06,5.64E+06,5.65E+06,5.97E+06,5.50E+06,8266462,5711870,4800667.5,5065546.5,8.45E+06,6943858,6999920,5.81E+06,1.02E+00,0.391191791
arginine,C00062,Aminoacids,175.1186,1.287,216901.6,55025.29,51434.12,88641.19,49107.22,77903.42,105470.5,149838.2,318100.6,83759.17,180113.9,151958.7,137075,109404.2,172065.4,59852.38,0,174837.3,103757.8,39036.68,81189,48472.72,63000.78,106224,80219.39,54910.03,94939.96,65878.45,77740.84,83767.87,90398.5,70600.33,107690.2,56096.98,90765.34,62680.89,87523.16,44777.72,75365.94,83032.45,69243.51,62827.18,52479.23,78231.38,84153.99,58832.58,73980.96,128544.8,86751.26,216901.6,150898.45,106581,71610.085,8.08E+04,79061.745,66035.345,8.12E+04,5.38E-01,0.046617321
asparagine,C00152,Aminoacids,133.0605,1.358351,427501.7,221702.6,222826.8,321912.1,228664.1,173917.9,175732.3,530838.9,503663.8,441393.8,545207.9,421782.3,415988.2,385915.8,290226.9,303965.1,406881.1,454927.3,321031.9,278005,278344.6,233776.7,343790.6,466415.8,392129.6,517012.5,376851.2,398613.9,524932.6,492488.1,485545.4,367642.8,269242.5,269028.9,369619.7,441864.4,415652.9,292039.7,251066.3,232003.8,334481.1,461330.4,392711,283545.7,214571.4,210099.4,320180.6,269090.5,286984.8,427501.7,472528.8,353473.85,311067.6,4.89E+05,368631.25,313260.4,2.76E+05,5.85E-01,0.000343281
aspartate,C00049,Aminoacids,134.0444,1.412377,3263464,2339621,1764776,2384665,1728725,1537095,1422330,4936714,4248578,4222378,4717155,1185447,1500019,1879968,2025578,2564719,2456399,1234111,905238.7,2016317,2027032,2985935,2603036,1618467,988918.9,2711300,3215740,3242978,3696456,1633902,2165240,2238306,2279614,2701138,2156115,1562880,1052514,2190524,2232239,2100777,2386873,1580892,1010101,1855861,1778616,1932899,1961609,949151.9,652937.1,3263464,4235478,1952773,2021674.5,2.96E+06,2197210.5,2145650.5,1.82E+06,4.29E-01,0.008549872
cysteine,C00097,Aminoacids,122.027,1.566031,17517.21,2618.473,3384.635,10353.61,3201.426,2231.416,2580.126,1559.324,1981.552,1372.425,6593.892,2967.63,1567.096,11043.67,4016.391,2245.435,3334.352,1832.23,8329.723,2693.381,2229.371,12732.46,2648.432,2818.964,4957.53,2335.098,7499.509,4837.829,2342.276,5121.434,4828.344,3467.881,3208.006,2170.239,6380.406,15899.48,3263.076,2350.26,5309.923,3041.826,2242.068,2560.509,12521.13,5490.605,4360.608,2860.846,13891.3,3942.281,1893.73,17517.21,1774.324,3675.3715,2756.1725,4.83E+03,3365.4785,2801.1675,4.15E+03,2.34E+00,0.047519792
glutamate,C00025,Aminoacids,148.06,1.365939,1786376,1404993,1275410,2160482,1835330,1964138,2020389,1651888,1093333,781170.3,763207.3,1283308,748336.1,964133.8,806824.2,723865.3,798351.8,1366762,659280.3,1103212,1115252,982665.6,934782.3,1827166,1225218,2.23E+06,1.97E+06,1.65E+06,1.70E+06,1.93E+06,2.18E+06,2039162,1830109,1468954,1552344,2234007,1677300,2071976,1719219,1576564,1632839,2709484,1712453,2.03E+06,1.80E+06,1.48E+06,1.51E+06,2.22E+06,1.60E+06,1786376,937251.65,802588,1109232,1.95E+06,1753704.5,1715836,1.70E+06,1.82E+00,0.000248837
glutamine,C00064,Aminoacids,147.076,1.361404,8446689,5147094,3929037,5363158,3681974,2807146,2336098,8262882,7573022,5256563,5212226,4156516,4582848,5138396,3777716,3024820,3561030,3914539,2915705,3167874,3344480,2900554,2394048,4270793,3374256,5.23E+06,4.98E+06,3.40E+06,3.20E+06,3.62E+06,3.83E+06,3275833,3325955,2287269,2084062,3401477,2458665,2449706,2400067,1738107,1733958,2451970,2103562,1.95E+06,1.82E+06,1.30E+06,1.09E+06,1.62E+06,1.33E+06,8446689,5234394.5,3669373,3256177,3.73E+06,2867249,2251814.5,1.47E+06,2.81E-01,0.000753643
glycine,C00037,Aminoacids,76.03997,1.297374,3423414,1944998,1603884,2490438,2014178,1648838,1963032,3505696,3096565,2835411,2335541,1618393,2154585,1966519,1505795,1828255,1732154,1665534,1542571,1513703,1556259,1578226,1443161,1764013,1691489,2770921,2140514,2155344,1986401,2095982,2392162,2022798,1620823,2063084,1648338,2326150,2270334,2140645,1603596,2086966,2009089,1905928,2254532,1980762,1803463,1446871,1685813,1747614,1446079,3423414,2585476,1698844,1567242.5,2.15E+06,2042941,2048027.5,1.72E+06,6.64E-01,0.016205206
histidine,C00135,Aminoacids,156.0764,1.26342,1441246,1125058,941495.2,1695696,1362048,1206492,1145136,1132643,1296867,1294000,1091404,922477.4,1322233,1003036,897852.4,999146.1,884399.4,870183.3,1152457,830220,857666.3,798287.8,0,1122173,1480912,1560105,1581500,1503040,1427426,1989845,1419710,1311046,1221764,1356890,1251782,1305659,1772898,1254455,1208723,1405775,1299894,1194427,1651808,1172021,1108505,1097992,988917.2,962908.8,1349412,1441246,1213321.5,948499.25,843943.15,1.53E+06,1308352.5,1277174.5,1.10E+06,9.09E-01,0.22965238
isoleucine,C16434,Aminoacids,132.1016,1.437704,28741280,17642820,20433410,30805180,26107270,25976950,25001920,20178000,18402160,12699790,17199510,14419140,12968490,15925250,12773920,10187000,11896240,15261570,14148330,14019220,13886420,12883800,12687500,20771130,14349080,2.48E+07,2.42E+07,1.65E+07,2.00E+07,2.02E+07,2.57E+07,19566360,19199640,15267870,17073390,24108220,17032940,19430730,19279160,15440200,18489350,24088370,17647060,1.85E+07,1.81E+07,1.37E+07,1.44E+07,1.95E+07,1.47E+07,28741280,15809325,13461125,13952820,2.22E+07,18136515,18884255,1.64E+07,1.04E+00,0.662379232
