node1,node2,database_score,textmining_score,coexpression_score,neighborhood_score,combined_score
GSR,GAPDH,0,0.678,0.104,0.072,0.709
GSR,GAPDH,0,0.678,0.104,0.072,0.709
GSR,PGD,0,0.797,0.188,0.111,0.848
GSR,PGD,0,0.797,0.188,0.111,0.848
GSR,H6PD,0,0.882,0.152,0.211,0.914
GSR,H6PD,0,0.882,0.152,0.211,0.914
GSR,G6PD,0,0.957,0.179,0.07,0.964
GSR,G6PD,0,0.957,0.179,0.07,0.964
GCK,PKLR,0,0.659,0.133,0,0.708
GCK,PKLR,0,0.659,0.133,0,0.708
GCK,HK2,0.8,0.669,0,0,0.809
GCK,HK2,0.8,0.669,0,0,0.809
GCK,HK1,0.8,0.89,0,0,0.812
GCK,HK1,0.8,0.89,0,0,0.812
GCK,TKT,0.8,0.566,0.08,0,0.913
GCK,TKT,0.8,0.566,0.08,0,0.913
GCK,TALDO1,0.8,0.591,0.062,0,0.916
GCK,TALDO1,0.8,0.591,0.062,0,0.916
GCK,PGM1,0.9,0.319,0.112,0,0.934
GCK,PGM1,0.9,0.319,0.112,0,0.934
GCK,H6PD,0.8,0.702,0.145,0,0.944
GCK,H6PD,0.8,0.702,0.145,0,0.944
GCK,G6PD,0.8,0.8,0.064,0,0.959
GCK,G6PD,0.8,0.8,0.064,0,0.959
GCK,G6PC,0.8,0.869,0.064,0,0.973
GCK,G6PC,0.8,0.869,0.064,0,0.973
GCK,GPI,0.9,0.749,0.146,0,0.976
GCK,GPI,0.9,0.749,0.146,0,0.976
GAPDH,HK1,0,0.749,0.064,0,0.755
GAPDH,HK1,0,0.749,0.064,0,0.755
GAPDH,LDHB,0,0.759,0.226,0.069,0.814
GAPDH,LDHB,0,0.759,0.226,0.069,0.814
GAPDH,PKLR,0,0.569,0.559,0.135,0.821
GAPDH,PKLR,0,0.569,0.559,0.135,0.821
GAPDH,PGAM1,0,0.628,0.556,0,0.903
GAPDH,PGAM1,0,0.628,0.556,0,0.903
GAPDH,TP53,0,0.887,0,0,0.927
GAPDH,TP53,0,0.887,0,0,0.927
GAPDH,TALDO1,0.8,0.695,0.182,0.118,0.95
GAPDH,TALDO1,0.8,0.695,0.182,0.118,0.95
GAPDH,H6PD,0.8,0.723,0.08,0.254,0.957
GAPDH,H6PD,0.8,0.723,0.08,0.254,0.957
GAPDH,G6PD,0.8,0.794,0.098,0.106,0.962
GAPDH,G6PD,0.8,0.794,0.098,0.106,0.962
GAPDH,PKM,0,0.826,0.704,0.135,0.969
GAPDH,PKM,0,0.826,0.704,0.135,0.969
GAPDH,TKT,0.8,0.7,0.142,0.11,0.97
GAPDH,TKT,0.8,0.7,0.142,0.11,0.97
GAPDH,GPI,0.8,0.786,0.68,0.135,0.986
GAPDH,GPI,0.8,0.786,0.68,0.135,0.986
GAPDH,TPI1,0.9,0.853,0.821,0.185,0.999
GAPDH,TPI1,0.9,0.853,0.821,0.185,0.999
TPI1,PGLS,0,0.652,0.063,0.156,0.701
TPI1,PGLS,0,0.652,0.063,0.156,0.701
TPI1,HK1,0,0.788,0.063,0,0.792
TPI1,HK1,0,0.788,0.063,0,0.792
TPI1,PGD,0,0.828,0.092,0,0.837
TPI1,PGD,0,0.828,0.092,0,0.837
TPI1,LDHB,0,0.751,0.212,0.054,0.866
TPI1,LDHB,0,0.751,0.212,0.054,0.866
TPI1,PKLR,0,0.745,0.736,0.198,0.941
TPI1,PKLR,0,0.745,0.736,0.198,0.941
TPI1,PGM1,0,0.699,0.728,0,0.943
TPI1,PGM1,0,0.699,0.728,0,0.943
TPI1,PKM,0,0.822,0.768,0.198,0.964
TPI1,PKM,0,0.822,0.768,0.198,0.964
TPI1,H6PD,0.8,0.782,0.102,0.245,0.966
TPI1,H6PD,0.8,0.782,0.102,0.245,0.966
TPI1,PGAM1,0,0.807,0.741,0.154,0.969
TPI1,PGAM1,0,0.807,0.741,0.154,0.969
TPI1,G6PD,0.8,0.858,0.079,0,0.971
TPI1,G6PD,0.8,0.858,0.079,0,0.971
TPI1,TALDO1,0.8,0.87,0.138,0.186,0.979
TPI1,TALDO1,0.8,0.87,0.138,0.186,0.979
TPI1,TKT,0.8,0.854,0.084,0.178,0.984
TPI1,TKT,0.8,0.854,0.084,0.178,0.984
TPI1,GPI,0.8,0.917,0.922,0.154,0.999
TPI1,GPI,0.8,0.917,0.922,0.154,0.999
PGLS,GPI,0,0.77,0.066,0.111,0.793
PGLS,GPI,0,0.77,0.066,0.111,0.793
PGLS,TKT,0,0.828,0.143,0.081,0.852
PGLS,TKT,0,0.828,0.143,0.081,0.852
PGLS,H6PD,0.9,0.775,0.135,0.111,0.938
PGLS,H6PD,0.9,0.775,0.135,0.111,0.938
PGLS,TALDO1,0,0.872,0.232,0.167,0.944
PGLS,TALDO1,0,0.872,0.232,0.167,0.944
PGLS,G6PD,0.9,0.858,0.16,0.111,0.992
PGLS,G6PD,0.9,0.858,0.16,0.111,0.992
PGLS,PGD,0.9,0.892,0.155,0.167,0.997
PGLS,PGD,0.9,0.892,0.155,0.167,0.997
G6PC,TKT,0.8,0.211,0,0,0.835
G6PC,TKT,0.8,0.211,0,0,0.835
G6PC,TALDO1,0.8,0.226,0,0,0.838
G6PC,TALDO1,0.8,0.226,0,0,0.838
G6PC,HK2,0.8,0.484,0.051,0,0.893
G6PC,HK2,0.8,0.484,0.051,0,0.893
G6PC,PGM1,0.9,0.235,0,0,0.92
G6PC,PGM1,0.9,0.235,0,0,0.92
G6PC,H6PD,0.8,0.648,0.062,0,0.928
G6PC,H6PD,0.8,0.648,0.062,0,0.928
G6PC,G6PD,0.8,0.737,0.055,0,0.946
G6PC,G6PD,0.8,0.737,0.055,0,0.946
G6PC,GPI,0.9,0.495,0,0,0.947
G6PC,GPI,0.9,0.495,0,0,0.947
