Identified Proteins (934),Accession Number,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,C_D2,Gpool_D2,C_D21,Gpool_D21,C_D42,Gpool_D42,Ves_C_D42,Ves_G_D42
Spectrin beta chain erythrocytic OS=Homo sapiens GN=SPTB PE=1 SV=5,P11277,246 kDa,TRUE,unknown,4354,4620,4231,4215,4045,3884,319,468
Spectrin alpha chain erythrocytic 1 OS=Homo sapiens GN=SPTA1 PE=1 SV=5,P02549,280 kDa,TRUE,unknown,3888,3995,3942,3924,3829,4012,338,510
Ankyrin-1 OS=Homo sapiens GN=ANK1 PE=1 SV=3,P16157,206 kDa,TRUE,unknown,3379,3370,3100,3040,2974,2767,805,855
Band 3 anion transport protein OS=Homo sapiens GN=SLC4A1 PE=1 SV=3,P02730,102 kDa,TRUE,unknown,2947,2908,2884,2886,2756,2651,1731,1704
Hemoglobin subunit alpha OS=Homo sapiens GN=HBA1 PE=1 SV=2,P69905,15 kDa,TRUE,unknown,507,531,524,581,646,626,3741,4090
Hemoglobin subunit beta OS=Homo sapiens GN=HBB PE=1 SV=2,P68871,16 kDa,TRUE,unknown,518,533,508,606,645,596,3494,3768
Protein 4.1 OS=Homo sapiens GN=EPB41 PE=1 SV=4,P11171,97 kDa,TRUE,unknown,1568,1409,1428,1376,1308,1226,471,432
Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3,P04406,36 kDa,TRUE,unknown,1524,1420,1510,1384,1238,1203,145,138
Erythrocyte membrane protein band 4.2 OS=Homo sapiens GN=EPB42 PE=1 SV=3,P16452,77 kDa,TRUE,unknown,1194,1171,1162,1137,1059,1062,410,395
Erythrocyte band 7 integral membrane protein OS=Homo sapiens GN=STOM PE=1 SV=3,P27105,32 kDa,,unknown,987,960,905,919,835,895,1141,1252
Actin cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1,P60709,42 kDa,TRUE,unknown,812,972,966,893,820,856,53,94
Keratin type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6,P04264,66 kDa,TRUE,unknown,531,643,616,631,702,604,779,583
Solute carrier family 2 facilitated glucose transporter member 1 OS=Homo sapiens GN=SLC2A1 PE=1 SV=2,P11166,54 kDa,TRUE,unknown,641,623,566,625,581,611,306,295
Keratin type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6,P13645,59 kDa,TRUE,unknown,376,428,443,483,478,440,532,435
Keratin type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3,P35527,62 kDa,TRUE,unknown,316,384,378,390,515,399,499,395
Flotillin-1 OS=Homo sapiens GN=FLOT1 PE=1 SV=3,O75955,47 kDa,TRUE,unknown,459,437,488,385,449,414,143,187
Flotillin-2 OS=Homo sapiens GN=FLOT2 PE=1 SV=2,Q14254,47 kDa,TRUE,unknown,480,393,438,350,407,339,135,182
Dematin OS=Homo sapiens GN=DMTN PE=1 SV=3,Q08495,46 kDa,TRUE,unknown,448,428,398,381,363,360,0,7
Ig gamma-1 chain C region OS=Homo sapiens GN=IGHG1 PE=1 SV=1,P01857,36 kDa,TRUE,unknown,420,395,346,344,285,271,117,207
55 kDa erythrocyte membrane protein OS=Homo sapiens GN=MPP1 PE=1 SV=2,Q00013,52 kDa,TRUE,unknown,376,355,326,350,317,314,169,147
Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2,P04075,39 kDa,TRUE,unknown,274,319,395,375,351,318,61,54
Keratin type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2,P35908,65 kDa,TRUE,unknown,284,320,316,363,363,350,487,348
